DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	n_amr_genes_strict
COLOR	#ff0000
COLOR_MIN	#ffffff
COLOR_MAX	#000000
DATA
af_0058_0083_f2	2.0
af_0058_0077_c4	2.0
af_0058_0077_c4	2.0
af_0058_0077_f3	2.0
af_0058_0077_f3	2.0
af_0058_0066_g1	2.0
af_0058_0066_g1	2.0
af_0058_0077_g5	2.0
af_0058_0077_g5	2.0
af_0058_0077_c5	2.0
af_0058_0077_c5	2.0
af_0058_0083_f6	2.0
af_0058_0083_f6	2.0
af_0058_0083_e5	2.0
af_0058_0083_e5	2.0
af_0058_0071_g5	2.0
af_0058_0071_g5	2.0
af_0058_0061_f5	2.0
af_0058_0061_f5	2.0
af_0058_0071_c4	2.0
af_0058_0071_c4	2.0
af_0058_0056_h1	2.0
af_0058_0056_h1	2.0
af_0058_0083_b1	2.0
af_0058_0083_b1	2.0
av_0103_0062_f10	1.0
af_0058_0066_e3	2.0
af_0058_0066_e3	2.0
af_0058_0066_f2	2.0
af_0058_0066_f2	2.0
af_0058_0066_b3	2.0
af_0058_0066_b3	2.0
af_0058_0077_g3	2.0
af_0058_0077_g3	2.0
af_0058_0061_d5-BIS	2.0
af_0058_0061_d5-BIS	2.0
af_0058_0077_f5	2.0
af_0058_0077_f5	2.0
af_0058_0071_h3	2.0
af_0058_0071_h3	2.0
af_0058_0077_d5	2.0
af_0058_0077_d5	2.0
af_0058_0083_e4	2.0
af_0058_0083_e4	2.0
af_0058_0077_e4	2.0
af_0058_0077_e4	2.0
af_0058_0077_g6	2.0
af_0058_0077_g6	2.0
af_0058_0066_g2	2.0
af_0058_0066_g2	2.0
af_0058_0083_g4	2.0
af_0058_0083_g4	2.0
af_0058_0066_b5	2.0
af_0058_0066_b5	2.0
af_0058_0066_c3	2.0
af_0058_0066_c3	2.0
af_0058_0066_d1	2.0
af_0058_0066_d1	2.0
af_0058_0071_f2	2.0
af_0058_0071_f2	2.0
af_0058_0071_b5	2.0
af_0058_0071_b5	2.0
af_0058_0071_g4	2.0
af_0058_0071_g4	2.0
af_0058_0066_e2	2.0
af_0058_0066_e2	2.0
af_0058_0066_g4	2.0
af_0058_0066_g4	2.0
af_0058_0071_c5	2.0
af_0058_0071_c5	2.0
af_0058_0083_f4	2.0
af_0058_0083_f4	2.0
af_0058_0066_a1	2.0
af_0058_0066_a1	2.0
af_0058_0071_e3	2.0
af_0058_0071_e3	2.0
an_0080_0010_d2	2.0
an_0080_0010_d2	2.0
af_0058_0083_g3	2.0
af_0058_0083_g3	2.0
af_0058_0083_g2	2.0
af_0058_0083_g2	2.0
af_0058_0083_b4	2.0
af_0058_0083_b4	2.0
af_0058_0066_a3	2.0
af_0058_0066_a3	2.0
af_0058_0083_f5	2.0
af_0058_0083_f5	2.0
af_0058_0077_d4	2.0
af_0058_0077_d4	2.0
af_0058_0066_b4	2.0
af_0058_0066_b4	2.0
af_0058_0083_c4	2.0
af_0058_0083_c4	2.0
af_0058_0077_g4	2.0
af_0058_0077_g4	2.0
af_0058_0066_d2	2.0
af_0058_0066_d2	2.0
af_0058_0077_h6	2.0
af_0058_0077_h6	2.0
af_0058_0066_h5	2.0
af_0058_0066_h5	2.0
af_0058_0077_a6	2.0
af_0058_0077_a6	2.0
af_0058_0083_f1	2.0
af_0058_0083_f1	2.0
af_0058_0071_a4	2.0
af_0058_0071_a4	2.0
af_0058_0066_g5	2.0
af_0058_0066_g5	2.0
af_0058_0071_d5	2.0
af_0058_0071_d5	2.0
af_0058_0083_b6	2.0
af_0058_0083_b6	2.0
af_0058_0066_a4	2.0
af_0058_0066_a4	2.0
af_0058_0083_d2	2.0
af_0058_0083_d2	2.0
af_0058_0077_h3	2.0
af_0058_0077_h3	2.0
af_0058_0077_c6	2.0
af_0058_0077_c6	2.0
af_0058_0071_g2	2.0
af_0058_0071_g2	2.0
af_0058_0071_c2	2.0
af_0058_0071_c2	2.0
af_0058_0066_c2	2.0
af_0058_0066_c2	2.0
af_0058_0077_d3	2.0
af_0058_0077_d3	2.0
af_0058_0083_g1	2.0
af_0058_0083_g1	2.0
af_0058_0083_e1	2.0
af_0058_0083_e1	2.0
af_0058_0056_e1	2.0
af_0058_0056_e1	2.0
